"state","year","min_wage","gdp_millions","unemployment","population","rental_vacancy_rate","bachelors","homeowner_rate","manufacturing"
"AL",1997,NA,104811.9,4.9,4320.281,7.3,NA,71.3,364
"AL",1998,NA,110212,4.5,4351.037,9.7,NA,72.9,364.8
"AL",1999,NA,115680.1,4.7,4369.862,13.5,NA,74.8,357.7
"AL",2000,NA,119851.7,4.6,4452.173,14.4,NA,73.2,351.5
"AL",2001,NA,122915.5,5.2,4467.634,14.2,NA,73.2,325.6
"AL",2002,NA,127505,5.9,4480.089,13.4,NA,73.7,307.5
"AL",2003,NA,134152.6,6,4503.491,14,NA,76.2,293.9
"AL",2004,NA,147715.2,5.6,4530.729,14.8,NA,78,291.7
"AL",2005,NA,158846.8,4.5,4569.805,13.2,NA,76.6,298.8
"AL",2006,NA,166469,4,4628.981,13.4,21.1,74.2,303
"AL",2007,NA,172975.2,4,4672.84,15.3,21.4,73.3,296.4
"AL",2008,NA,174526.3,5.9,4718.206,15.3,22,73,284.4
"AL",2009,NA,170930.9,10.1,4757.938,14.4,22,74.1,246.9
"AL",2010,NA,177249.2,10.4,4785.514,12.1,21.9,73.2,236.4
"AL",2011,NA,183916.6,9.6,4799.642,14.2,22.3,72.9,237.5
"AL",2012,NA,189245.5,8.2,4816.632,11.1,23.3,71.9,243.7
"AL",2013,NA,194786.9,7.3,4831.586,11.8,23.5,72.7,249.4
"AL",2014,NA,197406.9,6.7,4843.737,14,23.5,72.1,253.2
"AL",2015,NA,202372.4,6.1,4854.803,14.9,24.2,70,257.9
"AL",2016,NA,207368.4,5.9,4866.824,14.6,24.7,69.7,260.7
"AL",2017,NA,214606.3,4.5,4877.989,14,25.5,70,263.5
"AL",2018,NA,223859.3,3.9,4891.628,13.2,25.5,70.3,266.9
"AL",2019,NA,231561.9,3.2,4907.965,12.6,26.3,70.7,268.9
"AL",2020,NA,230892.1,6.4,5031.362,13.6,27.8,74.8,258.3
"AL",2021,NA,254109.7,3.4,5049.846,11.7,27.4,73.4,264.4
"AL",2022,NA,277817.5,2.6,5074.296,8.1,NA,72.1,274
"AK",1997,NA,25810.8,6.9,608.846,7.4,NA,67.2,13.9
"AK",1998,NA,24227.5,6.3,615.205,5.8,NA,66.3,13.1
"AK",1999,NA,24744.3,6.4,619.5,6.5,NA,66.4,13.2
"AK",2000,NA,26806.6,6.3,627.963,6.9,NA,66.4,12.1
"AK",2001,NA,28494.1,6.3,633.714,5.2,NA,65.3,11.7
"AK",2002,NA,29756.8,7.2,642.337,5.9,NA,67.1,11.2
"AK",2003,NA,32037.9,7.7,648.414,8.6,NA,70,11.6
"AK",2004,NA,35302.4,7.4,659.286,7,NA,67.2,12.3
"AK",2005,NA,40356.6,6.9,666.946,7.9,NA,66,12.6
"AK",2006,NA,45094.1,6.6,675.302,8.5,26.9,67.2,13.2
"AK",2007,NA,49583.7,6.3,680.3,7.7,26,66.6,13.2
"AK",2008,NA,55122.5,6.5,687.455,8.7,27.3,66.4,13.1
"AK",2009,NA,49957.8,8,698.895,7.9,26.6,66.8,13
"AK",2010,NA,53331.6,8.1,713.982,5.6,27.9,65.7,12.8
"AK",2011,NA,56896.3,7.7,722.349,5.8,26.4,64.4,13.9
"AK",2012,NA,58283.6,7.3,730.81,4.7,28,63.7,14.1
"AK",2013,NA,57247.7,7,737.626,5.3,28,64.6,14.4
"AK",2014,NA,56484.9,6.7,737.075,6.8,28,64.9,14.5
"AK",2015,NA,51490.9,6.3,738.43,6.8,29.7,62.3,14.3
"AK",2016,NA,50727.7,6.6,742.575,8.1,29.6,65.2,13.7
"AK",2017,NA,53301.5,6.5,740.983,7.4,28.8,65.5,13.2
"AK",2018,NA,54899.6,6,736.624,11.1,30.2,63.7,12.6
"AK",2019,NA,54728.2,5.6,733.603,7.5,30.2,62.6,13.1
"AK",2020,NA,50475.2,8.3,732.923,7,31.9,64.1,11.8
"AK",2021,NA,57349.4,6.4,734.182,4.2,32.8,64,12.2
"AK",2022,NA,63618,4,733.583,5.3,NA,65.1,12.1
"AZ",1997,NA,132281,4.6,4552.207,9.1,NA,63,204.8
"AZ",1998,NA,143302.6,4.3,4667.277,9.3,NA,64.3,210.5
"AZ",1999,NA,155755.8,4.5,4778.332,10.6,NA,66.3,207.6
"AZ",2000,NA,165110.7,4,5160.586,10.7,NA,68,210
"AZ",2001,NA,171909.6,4.7,5273.477,10.9,NA,68.1,201.9
"AZ",2002,NA,180522.3,6.1,5396.255,11.2,NA,65.6,183.8
"AZ",2003,NA,193634.9,5.8,5510.364,12,NA,67,175.8
"AZ",2004,NA,206541.1,5,5652.404,11.3,NA,68.7,177.7
"AZ",2005,NA,227915.9,4.7,5839.077,11.6,NA,71.1,183
"AZ",2006,NA,245957,4.3,6029.141,9.3,25.5,71.6,186.6
"AZ",2007,NA,261392,3.8,6167.681,9.6,25.3,70.4,182.6
"AZ",2008,NA,262926,5.8,6280.362,14.1,25.1,69.1,173.9
"AZ",2009,NA,246424.3,9.7,6343.154,17.7,25.6,68.9,154.7
"AZ",2010,NA,251153,10.3,6407.342,14.9,25.9,66.6,149.5
"AZ",2011,NA,260915.7,9.4,6473.416,12.4,26.6,66,151.5
"AZ",2012,NA,271440,8.4,6556.344,11.4,27.3,65.3,156.3
"AZ",2013,NA,278591.6,7.8,6634.69,10.8,27.4,65.1,156.7
"AZ",2014,NA,287666.6,6.8,6732.873,9.5,27.6,63.5,158.1
